Word,Translation
لواء,Brigade
فصائل,Factions
حلب,Aleppo
جيش,Army
إسلامية,Islamic
كتائب,Militias
إسلام,Islam/Islamic
جبهة,Front
خلافة,Caliphate
بسم,In the name of
جيش,Army
مسلم,Muslim
ريف,Countryside
فيلق,Corps
جهاد,Jihad
نصر,Victory
شريعة,Sharia
شريع,Sharia
شهر,Month
عسكرية,Military
مؤمنين,Believers
مجاهد,Jihadists
معارك,Battle
كتيبة,Militia
كتيب,Militia
داعش,ISIS/Daesh
مدينة,City
مدين,City
أهل,Community
نعلن,We Declare
خير,Good
إرهاب,Terrorist
شرع,To Legislate
نعاهد,To Promise
فرقة,Squad
فرق,Squad
درع,Shield
كرد,Kurd
مسلمون,Muslims
شرعية,Legitimacy
شهداء,Martyrs
اتقوا,Worship
بنيان,Building
صفا,Pureness
شيخ,Shaykh
أنصار,Supporters
أرض,Land
اسم,Name
حمدلله,Praise to God
صلاة,Prayer
صلا,Prayer
أمة,Ummah
ناس,People
سنة,Sunna
صلى,Pray
ديمقراطية,Democracy
رسوله,His Messenger
حماة,Hama
حما,Hama/Protection
أسد,Assad
لقو,With Power
تجمع,Union
عسكر,Military
تشكيل,To Found
نظام,Regime
ثورية,Revolutionary
ثور,Revolution
ضباط,Officers
منشق,Deserted
جبل,Mountains
مقاتل,Fighters
روس,Russia
عراق,Iraq
منطقة,Region
منطق,Region
مرجعية,Reference
مرجع,Reference
بناء,To Build
عاملة,Working
سطية,Centrist
سائل,Question
تعمل,To Work
فاعلة,Effective
قلوب,Hearts
عدل,Justice
غلو,Hyperbole
غرب,West
تفرقوا,To Divide
سبيله,His Way
كفر,Apostate
تكبير,Takbeer
تحكيم,To Govern
اسلام,Islam/Islamic
عظيم,Mighty
يحب,To Love
بركاته,His Blessing
رحمة,Mercy
رحم,Mercy
تركمان,Turkman (noun)
حقوق,Rights/Jurists
ثورة,Revolution
تركمانية,Turkman (adj)
سورية,Syria
كردية,Kurdish
سور,Syrian
هيئة,Board
دولة,State
دول,State
ديمقراط,Democratic
قانون,Law
طنية,National
كردستان,Kurdistan
سوري,Syrian
نار,Fire
لله,God
حده,Severity
اسم,Name
هدى,Guidance
سبيل,
كتب,To Write
جنوب,South
روسية,Russian
حملة,Campaign
عام,General
رحمن,Blessed
مفاوض,Negotiations
تنظيم,Organization
عدد,Number
شارك,To Participate
أولى,First
مخيم,Camp
إجم,Total
إيران,Iran
أكبر,Greatest
ريفها,Its Countryside
ثوار,Revolutionaries
مجرم,Criminal
قائد,Leader
منهج,Method (Rel.) 
سلف,Salafist
ميثاق,Charter
جماعة,Association
جماع,Association
علمية,Knowledge
علم,Knowledge
بشرع,To Commence?
رحمه,His Mercy
صائل,Means
مجتمع,Society
شعبنا,Our People
شعب,People
قومية,Nationalism
سياسية,Political
حزب,Party
حرية,Freedom
إنسان,Human
سياس,Politics
إيمانا,Faith
معركة,Battle
تقوى,Piety
للإسلام,For Islam
مقاصد,Purpose (Rel.)
دعوية,Dawa
دعو,Dawa
فهم,Understanding
شورى,Shura
عقيدة,Doctrine
كلمة,Word
كلم,Word
أبو,Abu (Father of)
شريك,Associate
حمد,Thanks (God)
نسأل,To Ask
عربية,Arab
جرائم,Crimes
أهداف,Goals
فتح,Conquer
إمام,Imam
ألف,Thousand
كله,entire
أعداء,Enemy
طاعة,Obedience
مسلمين,Muslims
إدلب,Idlib
عملي,Practical
قوات,Forces
أمر,Command
اجب,Duty
فقد,Forfeit
إبراهيم,Ibrahim
سيطرة,To Control
سيطر,To Control
أغلب,Majority
مواطنة,Citizenship
مبدأ,Principle
دستور,Constitution
تيار,Current
تعزيز,Strengthen
ائتلاف,Coalition
مدنية,City
عمل,Work
مساواة,Equality
قوان,Laws
حريات,Freedoms
راهن,Wager
عملية,Operation
تحرير,Liberation
إسقاط,The Fall
عمليات,Operation
شهادة,Testimony
بحبل,In Faith (of god)
اعتصموا,To Hold Fast
عصابة,Cartel
خيرية,Charity
بإذن,With Permission
نور,Light
توفيق,To Reconcile
جهود,Effort
عاملة,Working
تعاون,Cooperation
حفاظ,To Preserve
كريم,Generous
دين,Religion
قوة,Force
ترك,To Leave
تاريخ,History
مجلس,Council
قاعدة,The Base (Qaeda)
ساحة,Field
تعبير,Expression
مستقبل,Future
إجراءات,Procedures
مواطنة,Citizenry
ثقافية,Culture
ثقاف,Culture
محلية,Local
اقتصادية,Economic
لغة,Language 
مركز,Center
مصر,Egypt
جمهورية,Republic
جمهور,Republic
جميعا,All
كفاءات,Competencies
تجنب,To Avert
أحكام,Rule
علاقة,Relation
علاق,Relation
شاملة,Complete
بعيدا,Distant
حراك,Activism
عامل,Agent
سياسة,Politics
اجتماعية,Social
نهاية,End
رئيس,President
كرامته,Dignity
تلبية,To Accept
سوريا,Syria
مؤمن,Believer
محكمة,Court
مراكز,Centers
إحياء,Revival
أسماء,Names
فرنسا,France
راية,Banner
مهاجر,Immigrant
أوان,Time
رسول,Messenger
جنيف,Geneva
رئيسا,President
شرق,East
هجرة,Hijra
انشقاق,Split
تركيا,Turkey
عبد,Slave/Abdallah
مواطن,Citizens
قان,Law
حكومة,Government
تعا,Cooperation
سلام,Peace
سلاح,Weapons
سيف,Sword
سلطان,"Power, Sultan"
ضمير,Conscience
مادة,Article
طاغية,Tyrant
انطلقت,Launch
قطاع,Sector
قضايا,Issue
توحد,Unity (Reli.)
مجاهدين,Jihadists
مدارس,Schools
إيماننا,Our Faith
تشتت,Disperse
مقصود,Intentional
شامية,Sham/Levant
انتخاب,Elections
جبه,Front
بعث,Baathist
أثر,Effect
حلول,Solutions
قتل,Killing
دمشق,Damascus
عدة,Weakness
عسكري,Military
قيادة,Leadership
قياد,Leadership
إقليم,Regional
قضية,Issue
ساعة,Time
لاذقية,Lattakia
لاذق,Lattakia
حمدلل,Praise God
حبل,In Faith (of god)
مين,Trustworthy
امتث,Compliance
مباركة,Blessed
مبارك,Blessed
لأمر,Order
باطل,Worthless
أعراض,Symptoms
محمد,Muhammad
تدمير,Destruction
مقاتلة,Fighting
إضافة,In addition
مناطق,Regions
حقيقة,Truth
أركان,Pillars
مساهمة,Input
مساهم,Input
تأكيد,To Ensure
سنو,Years
كافة,All
لقد,Imminent
مستضعف,The Vulnerable
عقيد,Doctrine
لإسقاط,Overthrow
تنمية,Prosperity
تنم,Prosperity
محافظة,Province
محافظ,Province
ينصر,To win
تعتبر,To consider
مراعاة,To take into consideration
حرمة,Sanctity
حضار,Civilization
إغاثية,Relief
ادلب,Idlib
غوطة,Ghouta
تفريط,To neglect
عناية,Attention
بسط,Extent
خلاف,Caliphate
دنيا,Worldly
عدو,Enemy
يوم,Day
هيية,Organization
هيية,Organization
هذا,This
مسلحة,Armed
مسلح,Armed
لان,Because
كتايب,Battalions
كان,Was
فصايل,Factions
على,On
ظلم,Injustice
صحب,Companion
تابعة,?
اولى,First
اهل,Community
اهداف,Goals
انصار,Supporters
امة,Ummah
اما,Safety
اعراض,Symptoms
اصحاب,Companions
اسلامية,Islamic
اسقاط,Fall
اسد,Assad
ارض,Land
اذن,Permission
اذا,If
اعداء,Enemy
انتم,You (pl)
مومن,Believer
ابرز,Supreme
ايما,Faith
احكام,Rule
امر,Order
نصير,Supporter
صدق,Trust
حمدب,Mohammad
يقاتل,To Kill 
مومنين,Believers
يجب,Must
نبي,Prophet? 
جمع,Community
اجل,todo
اكبر,Greatest
انتصار,Victorious
اعتمد,To Rely
اكثر,More
اسلحة,Armed
انسان,Human
قرية,Town
ايران,Iran
جرحى,Wounded? 
عسكريا,Military
مسمى,Title
كتاب,Book
حياة,Life
اول,First
لاسقاط,The Fall
اغاثية,Food
اغاث,Food
ارتقاء,Ascension
تحقيق,To Achieve
معارضة,Opposition 
معارض,Opposition 
تربوية,Education
تربو,Education
مرصوص,Pledged
انطلاقا,Proceeding
قدما,Ahead of? 
رييس,President
بضرورة,Necessary
تسيير,Management? 
اندماج,Integration
نظرا,Viewpoint
انسانية,Humanitarian
تحاق,To join
اغلب,Majority
حريت,Freedoms
موجودة,To be present
رغم,Despite
كانت,Was
رياسة,Feast? 
رياس,Feast? 
امنوا,Secure
صادق,Trust
كتل,Block
رابط,Association
اصلاح,Reform
ثان,Second
حرك,Movement
تعصب,Extremism
مشا,Mash(allah)
جديد,New
ابواب,Doors
امام,Imam/Front
اخر,Last
رييسا,? 
استقل,Resignation
معاهد,Institutes
شكلت,Forms 
انتخب,To Elect
تحقق,To Achieve
رلمان,Parliament
تقويت,To Strengthen 
عهد,Era
حمص,Homs
حرب,War
لاحق,Later
احمد,Ahmad
ابراهيم,Ibrahim
ملك,Monarch
نتيج,Result
اسع,Wide
برلمان,Parliament
قاد,Leadership
حكوم,Government
ام,Ummah
اسلامي,Islamic 
داخل,Internal / Domestic
قوى,Force
اجتماع,Social / meeting
طريق,Way
سياسي,Political
ايتلاف,Coalition
تكون,To form
حل,Solution
سلم,Peaceful
موسسات,Organizations
سبيل,Path
حكم,Rule
كاف,Enough
مدن,Cities
تاسيس,To Establish
اعلام,Information
عرب,Arab
دولي,International
سلط,Authority
فق,Fiqh
مرحل,Stage
كامل,Complete
ضمن,Inclusive
امن,Security
مجموع,Group
بلاد,Land
اجهز,Instrument
دعم,Support
مكونات,Components
دفاع,Defense
جميع,All
اخرى,Other
جه,Side
خاص,Specifically
بكل,Entirely 
ابناء,Sons
كرام,Dignity
ضرور,Necessary
الله,God
رب,God
سبيل,Path
طن,Nation
اقتصاد,Economy
انتقال,Transition
ممارس,Practice
ضمان,Security
استبداد,Repression
اساس,Basis
موسس,Foundation
تعدد,Pluralism
مساوا,Equality
مباد,Principle
نضال,Struggle
مكون,Component
عدال,Justice
مختلف,Different
موتمر,Conference
اطار,Framework
قمع,Repression
مواج,Confrontation
تنفيذ,Executive
مبدا,Principle
جود,Good
حقيق,Truth
مجال,Field
طايف,Sect(arian)
فكر,Idea
منظم,Organization
احزاب,Parties
دور,Role
جزء,Part
مشارك,Participants
عالم,Scientist
مشترك,Joint
مسوول,Responsible
حال,Situation
بحق,Rightly
ساح,Square
بيان,Statement
مشروع,Project
بد,Start
حيا,Life
مصلح,Interest
شامل,Complete
حد,One
اختلاف,Difference
مهما,Mission
موحد,Unity
شخص,Person
فرد,Individual
نفس,Same
بكاف,Sufficient
كبير,Great
خارج,Outside
مصالح,Interests 
تقدم,Progress
كثير,Many
ادار,Management
هدف,Goal
احرار,Free
قوم,National(ism)
سبيل,Path
افراد,Individuals
بلد,Country
وسايل,Instrument
قضاء,Judiciary
را,Opinion
حمل,Campaign
سبيل,Path 
مطالب,Demands
حديث,Modern
اقام,To Establish
بدا,Beginning
اب,Father
تال,The Following
رحيم,Merciful
يومن,To Believe
اهم,Important
عادل,Justice
اسس,Foundation
تقديم,To Submit
وجل,Almighty
